
2024/06/22 (14:15:24) | ===> btop++ v.1.3.2
2024/06/22 (14:15:24) | INFO: Logger set to DEBUG
2024/06/22 (14:15:24) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/22 (14:15:24) | INFO: Running on /dev/pts/0
2024/06/22 (14:15:24) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/22 (14:15:24) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/22 (14:15:24) | DEBUG: Shared::init() : Initialized.

2024/06/27 (22:10:00) | ===> btop++ v.1.3.2
2024/06/27 (22:10:00) | INFO: Logger set to DEBUG
2024/06/27 (22:10:00) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/27 (22:10:00) | INFO: Running on /dev/pts/0
2024/06/27 (22:10:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/27 (22:10:00) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/27 (22:10:00) | DEBUG: Shared::init() : Initialized.
2024/06/27 (22:10:01) | INFO: Quitting! Runtime: 00:00:01

2024/06/30 (01:17:57) | ===> btop++ v.1.3.2
2024/06/30 (01:17:57) | INFO: Logger set to DEBUG
2024/06/30 (01:17:57) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/30 (01:17:57) | INFO: Running on /dev/pts/0
2024/06/30 (01:17:57) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/30 (01:17:57) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/30 (01:17:57) | DEBUG: Shared::init() : Initialized.

2024/06/30 (01:18:07) | ===> btop++ v.1.3.2
2024/06/30 (01:18:07) | INFO: Logger set to DEBUG
2024/06/30 (01:18:07) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/06/30 (01:18:07) | INFO: Running on /dev/pts/0
2024/06/30 (01:18:07) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/06/30 (01:18:07) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/06/30 (01:18:07) | DEBUG: Shared::init() : Initialized.

2024/07/03 (16:29:00) | ===> btop++ v.1.3.2
2024/07/03 (16:29:00) | INFO: Logger set to DEBUG
2024/07/03 (16:29:00) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/03 (16:29:00) | INFO: Running on /dev/pts/0
2024/07/03 (16:29:00) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/03 (16:29:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/03 (16:29:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/03 (16:29:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/03 (16:29:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/03 (16:29:00) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/03 (16:29:00) | DEBUG: Shared::init() : Initialized.

2024/07/04 (14:33:53) | ===> btop++ v.1.3.2
2024/07/04 (14:33:53) | INFO: Logger set to DEBUG
2024/07/04 (14:33:53) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/04 (14:33:53) | INFO: Running on /dev/pts/1
2024/07/04 (14:33:53) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/04 (14:33:53) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/07/04 (14:33:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/07/04 (14:33:53) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/07/04 (14:33:53) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/07/04 (14:33:53) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/07/04 (14:33:53) | DEBUG: Shared::init() : Initialized.

2024/07/05 (17:48:06) | ===> btop++ v.1.3.2
2024/07/05 (17:48:06) | INFO: Logger set to DEBUG
2024/07/05 (17:48:06) | DEBUG: Setting LC_ALL=en_US.UTF-8
2024/07/05 (17:48:06) | INFO: Running on /dev/pts/0
